Ax,Ay,Az
-0.0085771,0.10091,0.15954
-0.0086782,0.10049,0.15659
-0.0087499,0.098544,0.14527
-0.0072437,0.090075,0.11318
-0.00031184,0.065287,0.070633
0.012075,0.021318,0.085033
0.018686,-0.017313,0.20358
0.0084286,-0.024233,0.29671
-0.01347,-0.042563,0.18266
-0.038565,-0.12889,-0.017423
-0.064315,-0.17651,-0.020622
-0.075708,-0.037539,0.11051
-0.060834,0.13987,0.11724
-0.034306,0.11645,0.025514
-0.0047839,0.0072136,-0.017745
0.022244,0.013617,-0.022633
0.014602,0.061514,-0.015409
-0.02497,0.067257,0.0012619
-0.040151,0.051989,-0.017373
-0.016857,0.0026448,-0.073152
0.0095231,-0.012717,-0.11352
0.016127,0.070347,-0.10185
-0.0016825,0.13682,-0.046923
-0.024718,0.15734,0.0060865
-0.03307,0.24148,0.037601
-0.033109,0.28819,0.051923
-0.017684,0.12454,0.025963
0.0044595,-0.080406,-0.036072
-0.0065236,-0.068445,-0.075572
-0.023364,0.057193,-0.076771
-0.01177,0.071943,-0.076533
-0.022124,-0.023629,-0.065875
-0.048406,-0.15068,-0.018738
-0.016262,-0.23036,0.017639
0.044304,-0.16156,-0.0012001
0.05799,-0.038187,-0.039624
0.045162,-0.03267,-0.055341
0.04457,-0.041147,-0.030564
0.031713,0.048114,0.031064
-0.0072879,0.067071,0.080062
-0.037214,-0.07347,0.089889
-0.041124,-0.22835,0.080179
-0.042986,-0.25457,0.0455
-0.054346,-0.10984,-0.00143
-0.060103,0.052444,-0.023997
-0.051879,0.0093846,-0.035476
-0.033885,-0.14226,-0.035997
-0.012721,-0.16936,-0.0056864
-0.0034966,-0.11908,0.012172
-0.0085877,-0.10499,-0.0007533
0.0034776,-0.083348,0.0071928
0.04202,-0.034553,0.031924
0.062461,0.0013161,0.03395
0.036448,0.016738,0.029824
-0.0025103,0.018054,0.026936
-0.0016746,0.02292,0.0189
0.037834,0.046489,0.050167
0.051853,0.055163,0.12267
0.013744,0.0065823,0.14843
-0.021705,-0.071313,0.078455
-0.020021,-0.097622,-0.033004
-0.0026691,-0.04243,-0.083502
0.021008,0.038654,-0.0043912
0.036948,0.081214,0.1636
0.0093474,0.081386,0.26767
-0.032243,0.099245,0.20095
-0.020473,0.19506,0.072491
0.024557,0.33066,0.032276
0.049246,0.35204,0.020209
0.077857,0.18595,-0.03597
0.13545,0.0040421,-0.046083
0.16218,-0.016343,0.015434
0.0984,0.027235,0.079784
-0.00092973,0.042626,0.13236
-0.039093,0.1618,0.14159
-0.026753,0.37147,0.085319
-0.024401,0.40392,0.047945
-0.03109,0.17992,0.055689
-0.043513,-0.047327,0.013329
-0.065837,-0.080503,-0.083867
-0.05919,-0.023084,-0.11774
-0.020344,-0.010583,-0.064995
-0.001451,-0.015884,-0.02422
-0.0063988,-0.06033,-0.016176
0.0006184,-0.18929,0.0030681
0.007904,-0.25579,0.004991
-0.012475,-0.139,-0.019444
-0.026309,0.0081682,-0.018589
0.0019129,0.0059793,-0.0021273
0.025132,-0.070807,-0.0054143
-0.0049047,-0.093615,-0.022822
-0.047528,-0.13846,-0.045029
-0.040079,-0.24936,-0.036008
-0.0017924,-0.2477,0.034702
-0.0018621,-0.042261,0.106
-0.026119,0.16413,0.12575
0.0026348,0.15079,0.13404
0.044442,0.015708,0.13466
-0.010202,0.0087684,0.077898
-0.096489,0.11443,0.019037
-0.066698,0.13685,0.058451
0.019876,0.0044251,0.12343
0.024149,-0.20366,0.075152
-0.01767,-0.28545,-0.032347
-0.028538,-0.12362,-0.064392
-0.024112,0.074542,-0.032733
-0.013636,0.10142,-0.0062389
-0.0058457,0.042593,-0.0072077
-0.030028,0.001958,-0.038454
-0.056091,-0.024192,-0.074107
-0.031725,0.015101,-0.078186
0.020151,0.1073,-0.059179
0.040525,0.12141,-0.039946
0.028365,0.059478,-0.038749
0.022223,0.022505,-0.099293
0.021655,0.010565,-0.1987
0.0093005,0.0090114,-0.18682
-0.0030496,0.033494,-0.027865
-0.0093015,0.034899,0.087301
-0.0078594,-0.017645,0.073899
0.01909,-0.039865,0.052143
0.055865,0.020089,0.042837
0.059254,0.065964,-0.0080633
0.030318,0.028621,-0.022838
0.0038337,-0.0060984,0.039022
-0.00022214,0.062168,0.07129
0.025355,0.23072,0.034395
0.072814,0.36943,-0.01589
0.10233,0.31259,-0.057779
0.083051,0.12913,-0.07081
0.043167,0.045854,-0.054338
0.019089,0.045932,-0.073696
0.0072713,-0.011541,-0.12402
0.01256,-0.070668,-0.12444
0.04162,-0.047439,-0.074183
0.055016,0.024875,-0.011417
0.031719,0.094157,0.052866
0.013207,0.09999,0.074689
0.019493,0.04978,0.039297
0.016235,0.023035,0.01631
-0.013266,0.0025116,0.025849
-0.039582,-0.04862,0.018192
-0.034146,-0.053358,0.0066355
-0.00050277,0.003788,0.016726
0.037112,0.011068,-0.005594
0.046213,-0.044534,-0.058085
0.0085913,-0.043768,-0.055257
-0.040325,0.035421,-0.020843
-0.045524,0.078443,-0.0359
-0.017671,0.034401,-0.060039
-0.0021826,-0.023638,-0.042253
0.0036481,-0.043766,-0.023901
0.01673,-0.03442,-0.033856
0.032535,0.03919,-0.053582
0.053408,0.1706,-0.055336
0.060765,0.1772,-0.034501
0.024008,-0.0012967,-0.03154
-0.01774,-0.081699,-0.053348
-0.011791,0.054279,-0.041534
0.0050758,0.11729,0.013705
-0.014811,-0.00187,0.064246
-0.042657,-0.097876,0.10375
-0.044898,-0.094825,0.12536
-0.033356,-0.052706,0.071602
-0.013875,-0.019647,-0.025841
0.015833,-0.018003,-0.04594
0.025023,0.0081143,-0.0076141
-0.010118,0.043026,-0.017876
-0.052034,0.0010656,-0.036993
-0.049213,-0.0025944,0.0095768
-0.010369,0.14501,0.063655
0.020017,0.24456,0.054656
0.017974,0.11319,-0.0073098
-0.014658,-0.06926,-0.048499
-0.056584,-0.073548,-0.0037342
-0.068486,0.019252,0.053179
-0.032807,0.066094,0.017577
0.015016,0.0981,-0.045642
0.028321,0.10017,-0.039507
0.002244,0.025677,0.0096461
-0.044154,-0.018269,0.036966
-0.10809,0.01807,0.00029898
-0.17306,0.035163,-0.082908
-0.16867,0.0010275,-0.10927
-0.057751,-0.035284,-0.020685
0.049913,-0.040576,0.090722
0.028108,-0.020914,0.11493
-0.044821,-0.015235,0.078283
-0.026162,-0.030024,0.071448
0.034862,-0.02504,0.11212
0.034352,0.027082,0.15019
-0.0036189,0.096216,0.1327
-0.032384,0.11213,0.052803
-0.050674,0.086856,-0.032785
-0.05784,0.12982,-0.063461
-0.049083,0.24462,-0.042863
-0.031421,0.26471,-0.02901
